Product,Region,Sales,Profit,City
Tablet,East,4058,246,Rajkot
Smartphone,North,2227,629,Gandhinagar
Headphones,North,527,89,Rajkot
Tablet,North,506,815,Pune
Smartwatch,North,2316,380,Amreli
Smartphone,South,2561,521,Ahemdabad
Smartwatch,West,4055,771,Pune
Headphones,South,2396,204,Amreli
Headphones,South,1021,450,Gandhinagar
Tablet,South,1236,284,Noida
Desktop,East,4704,613,Pune
Smartphone,West,2079,494,Patan
Tablet,North,1062,146,Ahemdabad
Desktop,West,3824,509,Amreli
Smartwatch,Central,4072,580,Mumbai
Smartwatch,South,2573,541,Delhi
Headphones,East,4711,927,Bangalore
Headphones,West,3050,777,Hyderabad
Desktop,Central,4734,390,Chennai
Smartphone,Central,1437,563,Pune
Smartwatch,Central,3076,82,Amreli
Smartphone,South,4263,193,Gandhinagar
Laptop,Central,3605,575,Noida
Tablet,West,1520,708,Pune
Smartwatch,East,1526,543,Patan
Laptop,Central,4307,681,Ahemdabad
Headphones,North,3233,484,Patan
Tablet,East,2756,480,Patan
Smartwatch,West,3797,617,Patan
Tablet,East,706,676,Patan
Headphones,East,729,116,Ahemdabad
Smartphone,East,4574,241,Mumbai
Smartwatch,West,3642,156,Kutch
Smartwatch,Central,2870,629,Bhopal
Desktop,South,3935,541,Pune
Tablet,West,2210,426,Gandhinagar
Headphones,East,3539,809,Delhi
Desktop,West,708,129,Bangalore
Desktop,North,3828,846,Hyderabad
Smartwatch,Central,1825,477,Chennai
Smartwatch,North,3945,618,Pune
Smartphone,East,1318,944,Amreli
Laptop,West,1816,258,Gandhinagar
Headphones,East,3226,955,Noida
Headphones,East,3395,936,Pune
Smartphone,East,2596,434,Patan
Smartphone,North,2212,70,Ahemdabad
Smartphone,East,3782,736,Mumbai
Tablet,East,1887,945,Delhi
Smartphone,South,1867,376,Bangalore
Smartwatch,South,1500,787,Hyderabad
Tablet,East,3007,331,Chennai
Smartwatch,South,2648,503,Mumbai
Laptop,East,1684,547,Kutch
Laptop,Central,1038,801,Patan
Tablet,West,4609,442,Patan
Smartwatch,West,2044,984,Patan
Headphones,West,1932,685,Patan
Laptop,North,1453,379,Ahemdabad
Laptop,West,1558,867,Mumbai
Tablet,South,3342,277,Kutch
Laptop,West,666,973,Bhopal
Tablet,South,4920,434,Pune
Headphones,Central,3117,628,Gandhinagar
Smartwatch,West,1205,929,Amreli
Laptop,South,2030,338,Rajkot
Headphones,West,1024,754,Noida
Smartphone,South,4900,586,Gandhinagar
Desktop,Central,2034,103,Rajkot
Tablet,West,2784,104,Gandhinagar
Laptop,West,3398,322,Rajkot
Headphones,South,3172,779,Pune
Headphones,West,2876,981,Amreli
Desktop,South,1242,320,Ahemdabad
Desktop,East,2309,294,Pune
Smartphone,East,3712,284,Amreli
Desktop,West,4473,488,Gandhinagar
Smartwatch,North,1949,195,Noida
Smartphone,West,2947,827,Pune
Smartphone,East,3068,489,Patan
Tablet,Central,3570,620,Ahemdabad
Headphones,East,525,95,Amreli
Smartphone,South,1757,607,Mumbai
Smartwatch,West,1838,306,Delhi
Tablet,North,2241,700,Bangalore
Smartwatch,Central,1335,669,Hyderabad
Tablet,South,4739,295,Chennai
Desktop,South,1371,939,Pune
Desktop,North,2872,221,Amreli
Desktop,West,3499,984,Gandhinagar
Smartphone,Central,4071,174,Noida
Smartwatch,East,3421,265,Pune
Tablet,North,3224,371,Patan
Laptop,West,3706,112,Ahemdabad
Headphones,North,1240,378,Patan
Laptop,South,4683,737,Patan
Desktop,South,4533,591,Patan
Tablet,East,2762,94,Patan
Laptop,East,4158,604,Ahemdabad
Smartphone,East,2121,156,Mumbai
Laptop,West,2153,579,Kutch
Smartphone,North,3416,80,Bhopal
Smartphone,West,964,353,Pune
Laptop,West,2272,235,Gandhinagar
Tablet,South,1300,458,Patan
Laptop,North,1008,78,Patan
Tablet,South,3125,192,Patan
Headphones,East,4045,707,Patan
Tablet,East,4272,584,Ahemdabad
Smartphone,South,2276,748,Mumbai
Laptop,North,2703,56,Kutch
Laptop,Central,3085,522,Bhopal
Tablet,East,4493,256,Pune
Headphones,Central,2584,292,Gandhinagar
Tablet,South,4953,932,Amreli
Headphones,Central,3109,960,Rajkot
Headphones,Central,4741,711,Mumbai
Smartwatch,West,2791,898,Kutch
Smartwatch,South,3122,54,Patan
Laptop,North,2739,58,Patan
Desktop,Central,2147,185,Patan
Laptop,South,1978,846,Patan
Tablet,East,1763,915,Ahemdabad
Headphones,South,2341,392,Mumbai
Laptop,South,2325,853,Kutch
Headphones,East,3742,830,Bhopal
Desktop,North,3536,799,Pune
Smartphone,South,3205,113,Gandhinagar
Headphones,Central,1855,190,Amreli
Laptop,South,700,274,Rajkot
Tablet,North,3411,229,Noida
Tablet,West,3343,877,Gandhinagar
Tablet,South,3923,793,Rajkot
Smartphone,North,748,249,Gandhinagar
Headphones,East,4190,793,Rajkot
Smartwatch,East,707,960,Pune
Headphones,East,1402,960,Amreli
Tablet,West,3470,293,Ahemdabad
Laptop,West,4282,174,Pune
Headphones,West,955,637,Amreli
Smartphone,South,1571,395,Gandhinagar
Desktop,West,678,451,Noida
Laptop,North,2212,304,Pune
Desktop,South,1445,582,Patan
Smartwatch,East,4470,450,Ahemdabad
Tablet,South,3724,637,Amreli
Tablet,Central,3291,827,Mumbai
Headphones,North,2675,353,Delhi
Headphones,North,1854,645,Bangalore
Smartphone,West,1869,991,Hyderabad
Smartwatch,South,4024,704,Chennai
Laptop,North,3570,605,Pune
Smartwatch,East,2164,197,Amreli
Tablet,West,757,804,Gandhinagar
Desktop,East,2567,190,Noida
Desktop,East,4050,304,Pune
Laptop,North,2248,151,Patan
Desktop,East,4367,249,Ahemdabad
Headphones,Central,3533,912,Patan
Smartphone,South,3596,527,Patan
Smartphone,West,3715,62,Patan
Smartphone,Central,4044,559,Patan
Tablet,South,3558,379,Ahemdabad
Laptop,South,1683,779,Mumbai
Desktop,East,2693,907,Kutch
Tablet,South,570,920,Bhopal
Desktop,East,2659,359,Pune
Headphones,Central,4236,933,Gandhinagar
Smartwatch,West,3971,971,Mumbai
Smartwatch,North,4438,436,Delhi
Laptop,South,4451,893,Bangalore
Laptop,South,3683,880,Hyderabad
Tablet,West,3960,806,Chennai
Desktop,North,3957,330,Delhi
Headphones,West,1439,506,Bangalore
Laptop,East,3033,204,Hyderabad
Headphones,South,2713,985,Chennai
Smartwatch,Central,2968,316,Pune
Desktop,East,744,807,Amreli
Smartphone,Central,3561,420,Gandhinagar
Desktop,Central,2583,281,Noida
Desktop,South,3407,896,Pune
Headphones,South,2455,569,Patan
Smartwatch,North,1211,144,Ahemdabad
Smartwatch,East,3344,309,Mumbai
Headphones,East,1817,177,Delhi
Tablet,Central,4134,607,Bangalore
Desktop,North,4840,773,Hyderabad
Desktop,Central,4311,608,Chennai
Desktop,West,4079,626,Pune
Smartphone,East,4734,1000,Amreli
Smartphone,East,1308,767,Gandhinagar
Desktop,West,3716,157,Noida
Laptop,South,3193,255,Pune
Smartphone,North,624,918,Patan
Smartwatch,South,2185,653,Ahemdabad
Headphones,South,1309,84,Pune
Tablet,South,1404,872,Amreli
Desktop,Central,4805,315,Gandhinagar
Desktop,East,1041,408,Noida
Smartphone,South,2706,378,Pune
Smartphone,East,2549,497,Patan
Smartphone,Central,1903,144,Ahemdabad
Smartphone,South,4941,639,Pune
Desktop,East,711,579,Amreli
Smartphone,Central,3324,441,Gandhinagar
Laptop,Central,4696,173,Noida
Smartwatch,West,4505,75,Pune
Tablet,South,3692,346,Patan
Tablet,North,3171,316,Ahemdabad
Smartphone,West,4819,332,Amreli
Headphones,West,3635,927,Gandhinagar
Laptop,East,2498,680,Noida
Tablet,East,4305,183,Pune
Smartwatch,South,2006,798,Patan
Smartwatch,Central,4908,676,Ahemdabad
Headphones,South,3062,132,Patan
Headphones,South,4337,564,Patan
Desktop,West,1213,231,Patan
Tablet,Central,3994,50,Patan
Smartphone,East,4867,605,Ahemdabad
Headphones,East,3666,775,Mumbai
Desktop,North,3691,100,Kutch
Headphones,Central,1878,108,Bhopal
Desktop,Central,2585,363,Pune
Smartwatch,Central,3044,686,Gandhinagar
Smartphone,North,4009,122,Patan
Headphones,East,2669,420,Patan
Smartwatch,South,2774,459,Patan
Tablet,West,2864,877,Patan
Desktop,South,756,351,Ahemdabad
Smartphone,West,3401,743,Mumbai
Desktop,North,1384,678,Kutch
Tablet,South,2134,125,Bhopal
Headphones,North,2666,191,Pune
Smartphone,East,1701,696,Gandhinagar
Smartphone,Central,4498,365,Amreli
Smartphone,West,3269,228,Rajkot
Headphones,East,725,105,Mumbai
Smartphone,East,501,742,Kutch
Smartwatch,North,1295,726,Patan
Laptop,Central,3995,838,Patan
Desktop,Central,3143,944,Patan
Smartwatch,East,1593,331,Patan
Desktop,Central,4032,685,Ahemdabad
Smartwatch,North,3687,845,Mumbai
Smartwatch,North,742,916,Kutch
Smartphone,East,3546,59,Bhopal
Desktop,South,2278,78,Pune
Tablet,East,2371,847,Gandhinagar
Smartwatch,West,3274,167,Amreli
Smartwatch,South,1528,815,Rajkot
Desktop,West,2901,581,Noida
Tablet,Central,4635,144,Gandhinagar
Headphones,Central,1408,212,Rajkot
Headphones,East,4734,116,Gandhinagar
Headphones,North,648,403,Rajkot
Headphones,South,4132,669,Pune
Smartwatch,East,2285,777,Amreli
Laptop,South,3665,510,Ahemdabad
Desktop,West,536,138,Pune
Smartwatch,North,2452,330,Amreli
Tablet,North,4707,322,Gandhinagar
Laptop,South,4488,665,Noida
Smartwatch,West,2733,326,Pune
Smartwatch,West,3961,703,Patan
Smartphone,South,2231,111,Ahemdabad
Smartphone,Central,4790,144,Amreli
Headphones,North,1008,792,Mumbai
Headphones,Central,1178,905,Delhi
Smartwatch,North,1620,939,Bangalore
Smartwatch,East,1527,924,Hyderabad
Laptop,Central,1192,70,Chennai
Smartphone,West,4081,190,Pune
Laptop,Central,2585,202,Amreli
Desktop,South,4517,308,Gandhinagar
Headphones,East,3501,252,Noida
Headphones,North,2128,895,Pune
Headphones,West,2436,275,Patan
Smartwatch,North,1717,234,Ahemdabad
Laptop,East,3497,144,Patan
Smartwatch,West,1196,702,Patan
Smartphone,East,4079,736,Patan
Headphones,North,1688,377,Patan
Tablet,West,3728,208,Ahemdabad
Laptop,West,2136,327,Mumbai
Desktop,West,3773,453,Kutch
Smartphone,North,2780,994,Bhopal
Desktop,East,4376,433,Pune
Desktop,West,4691,512,Gandhinagar
Smartphone,North,528,346,Mumbai
Headphones,Central,602,926,Delhi
Laptop,East,3098,193,Bangalore
Desktop,North,3328,493,Hyderabad
Laptop,North,1048,243,Chennai
Tablet,West,762,375,Delhi
Headphones,North,4650,432,Bangalore
Desktop,East,2492,862,Hyderabad
Smartwatch,West,3664,448,Chennai
Headphones,East,2131,935,Pune
Tablet,South,4676,703,Amreli
Desktop,North,4651,113,Gandhinagar
Smartphone,Central,4704,900,Noida
Laptop,South,3119,838,Pune
Headphones,North,2122,402,Patan
Smartwatch,North,1338,861,Ahemdabad
Headphones,Central,523,523,Mumbai
Laptop,South,2370,495,Delhi
Desktop,Central,1359,405,Bangalore
Smartphone,North,795,462,Hyderabad
Smartwatch,South,3691,348,Chennai
Headphones,North,4388,437,Pune
Laptop,North,4644,918,Amreli
Laptop,Central,2806,322,Gandhinagar
Desktop,South,614,523,Noida
Tablet,West,617,760,Pune
Tablet,North,3952,450,Patan
Smartwatch,North,3639,998,Ahemdabad
Laptop,West,1769,564,Pune
Laptop,East,2345,438,Amreli
Laptop,East,3640,298,Gandhinagar
Headphones,South,3937,719,Noida
Smartwatch,East,2029,968,Pune
Smartwatch,West,1781,319,Patan
Laptop,East,4022,624,Ahemdabad
Tablet,East,3653,182,Pune
Headphones,Central,4679,188,Amreli
Smartphone,West,3913,990,Gandhinagar
Tablet,North,2807,148,Noida
Desktop,West,2564,422,Pune
Laptop,West,2400,133,Patan
Smartphone,West,2216,706,Ahemdabad
Desktop,North,2762,674,Chennai
Laptop,Central,4564,553,Pune
Smartphone,North,4090,654,Amreli
Laptop,West,1245,689,Gandhinagar
Smartwatch,North,652,778,Noida
Tablet,West,3440,375,Pune
Tablet,South,3358,515,Patan
Desktop,South,1655,598,Ahemdabad
Desktop,East,4333,517,Mumbai
Smartphone,South,4005,632,Delhi
Smartphone,North,4668,374,Bangalore
Smartwatch,South,3808,706,Hyderabad
Headphones,West,4656,251,Chennai
Headphones,North,4105,791,Mumbai
Desktop,Central,4944,940,Kutch
Smartphone,West,770,452,Patan
Laptop,North,972,674,Patan
Smartphone,West,2035,897,Patan
Smartphone,West,1226,506,Patan
Smartwatch,East,1296,854,Ahemdabad
Desktop,North,622,455,Mumbai
Desktop,West,3645,685,Kutch
Smartphone,South,993,879,Bhopal
Laptop,Central,3314,529,Pune
Headphones,Central,924,624,Gandhinagar
Tablet,East,4282,650,Amreli
Laptop,North,1911,637,Rajkot
Laptop,East,3345,379,Noida
Smartwatch,Central,2345,504,Gandhinagar
Smartwatch,West,3718,577,Rajkot
Tablet,West,3612,349,Gandhinagar
Tablet,Central,1423,437,Rajkot
Laptop,East,931,341,Pune
Tablet,South,3497,603,Amreli
Laptop,Central,2132,51,Ahemdabad
Laptop,North,4305,845,Pune
Smartwatch,West,4283,993,Amreli
Smartwatch,North,730,305,Gandhinagar
Tablet,West,4240,299,Noida
Laptop,West,4797,116,Pune
Laptop,Central,2516,120,Patan
Smartwatch,North,1263,158,Ahemdabad
Smartwatch,North,1335,376,Amreli
Headphones,Central,3626,913,Mumbai
Desktop,West,3988,668,Delhi
Laptop,West,4429,581,Bangalore
Smartwatch,North,1765,588,Hyderabad
Headphones,South,4422,995,Chennai
Headphones,West,3243,109,Pune
Smartphone,South,2155,476,Amreli
Tablet,North,1919,178,Gandhinagar
Smartphone,East,3527,135,Noida
Smartwatch,Central,734,425,Pune
Smartwatch,South,4350,652,Patan
Laptop,South,2552,126,Ahemdabad
Desktop,West,749,602,Patan
Smartwatch,Central,1177,832,Patan
Tablet,East,1415,734,Patan
Smartphone,East,1069,285,Patan
Laptop,West,3185,169,Ahemdabad
Desktop,Central,3696,710,Mumbai
Smartphone,Central,3600,212,Kutch
Smartphone,East,700,679,Bhopal
Tablet,West,1453,905,Pune
Headphones,North,4189,732,Gandhinagar
Desktop,East,4557,647,Patan
Desktop,South,776,443,Patan
Smartphone,East,667,342,Patan
Desktop,East,760,164,Patan
Smartwatch,West,4320,941,Ahemdabad
Smartphone,South,2671,634,Mumbai
Smartwatch,South,3134,669,Kutch
Desktop,Central,2750,215,Bhopal
Smartwatch,South,4604,773,Pune
Desktop,Central,3954,719,Gandhinagar
Tablet,Central,4235,695,Amreli
Tablet,South,3391,195,Rajkot
Tablet,West,2254,398,Mumbai
Tablet,North,1756,490,Kutch
Laptop,East,2210,895,Patan
Laptop,Central,3394,187,Patan
Smartphone,West,2452,587,Patan
Desktop,Central,2030,920,Patan
Smartphone,North,2776,579,Ahemdabad
Laptop,West,819,849,Mumbai
Desktop,South,2970,170,Kutch
Desktop,West,3461,490,Bhopal
Smartwatch,West,1826,690,Pune
Headphones,Central,3629,126,Gandhinagar
Laptop,East,1406,581,Amreli
Headphones,South,4618,188,Rajkot
Headphones,North,4268,425,Noida
Tablet,Central,1085,54,Gandhinagar
Smartphone,South,1883,301,Rajkot
Laptop,North,1819,667,Gandhinagar
Smartphone,Central,3085,322,Rajkot
Laptop,North,2151,873,Pune
Smartphone,Central,1273,978,Amreli
Desktop,South,2043,545,Ahemdabad
Headphones,North,3900,325,Pune
Desktop,East,4211,555,Amreli
Smartphone,North,2220,908,Gandhinagar
Tablet,South,2873,643,Noida
Desktop,Central,4735,565,Pune
Smartwatch,West,4752,804,Patan
Smartwatch,South,2601,79,Ahemdabad
Smartwatch,North,2360,128,Amreli
Smartphone,Central,1705,498,Mumbai
Desktop,Central,1471,735,Delhi
Desktop,Central,1656,994,Bangalore
Desktop,North,1367,382,Hyderabad
Smartwatch,Central,3141,699,Chennai
Desktop,North,1601,857,Pune
Smartwatch,North,2649,587,Amreli
Desktop,Central,4626,620,Gandhinagar
Smartwatch,North,3575,626,Noida
Headphones,East,1306,544,Pune
Headphones,South,4109,68,Patan
Smartwatch,Central,3231,503,Ahemdabad
Laptop,West,1427,528,Patan
Headphones,East,781,218,Patan
Desktop,North,1446,775,Patan
Tablet,West,3424,563,Patan
Smartphone,East,1424,655,Ahemdabad
Desktop,South,1018,634,Mumbai
Smartphone,East,572,552,Kutch
Smartwatch,Central,3759,771,Bhopal
Desktop,South,704,340,Pune
Smartphone,Central,3302,798,Gandhinagar
Smartphone,East,2182,952,Mumbai
Smartwatch,East,3195,821,Delhi
Tablet,North,1726,669,Bangalore
Laptop,West,1708,401,Hyderabad
Laptop,North,1255,607,Chennai
Smartphone,West,2461,772,Delhi
Smartwatch,Central,2442,567,Bangalore
Headphones,West,2855,314,Hyderabad
Smartphone,West,3338,947,Chennai
Laptop,East,4465,540,Pune
Smartphone,South,3830,453,Amreli
Smartphone,East,4563,672,Gandhinagar
Tablet,North,2195,442,Noida
Laptop,Central,3242,396,Pune
Smartwatch,North,553,700,Patan
Smartphone,West,2225,559,Ahemdabad
Tablet,East,2365,867,Mumbai
Laptop,West,3084,488,Delhi
Tablet,East,4027,612,Bangalore
Tablet,Central,4033,730,Hyderabad
Headphones,Central,4503,222,Chennai
Tablet,North,4601,159,Pune
Tablet,East,1310,653,Amreli
Headphones,West,3835,118,Gandhinagar
Desktop,Central,4780,972,Noida
Desktop,West,3028,331,Pune
Tablet,East,696,730,Patan
Desktop,East,3513,112,Ahemdabad
Headphones,Central,1474,806,Pune
Laptop,West,2470,172,Amreli
Headphones,North,1258,529,Gandhinagar
Desktop,Central,1513,804,Noida
Smartwatch,North,2998,349,Pune
Desktop,Central,2187,987,Patan
Desktop,North,4342,907,Ahemdabad
Desktop,South,3161,970,Pune
Smartwatch,East,2384,454,Amreli
Laptop,North,3999,623,Gandhinagar
Desktop,Central,3887,540,Noida
Tablet,North,3493,259,Pune
Smartwatch,East,3401,64,Patan
Smartwatch,North,1014,341,Ahemdabad
Smartphone,North,4949,488,Amreli
Laptop,North,2850,648,Gandhinagar
Tablet,East,1487,750,Noida
Headphones,Central,4988,685,Pune
Desktop,North,4782,837,Patan
Tablet,East,1551,388,Ahemdabad
Laptop,West,3663,306,Patan
Smartwatch,South,2423,172,Patan
Desktop,West,858,410,Patan
Desktop,East,670,377,Patan
Desktop,East,3436,735,Ahemdabad
Tablet,North,2216,255,Mumbai
Desktop,East,3289,725,Kutch
Laptop,East,3684,556,Bhopal
Smartphone,West,4197,105,Pune
Laptop,South,4645,80,Gandhinagar
Tablet,South,1054,331,Patan
Smartwatch,West,2397,197,Patan
Tablet,East,702,521,Patan
Smartphone,East,2934,992,Patan
Tablet,West,4011,99,Ahemdabad
Tablet,West,4439,571,Mumbai
Smartphone,West,4085,418,Kutch
Smartphone,Central,4543,633,Bhopal
Smartwatch,East,2215,903,Pune
Smartphone,Central,1435,407,Gandhinagar
Headphones,Central,1030,269,Amreli
Desktop,West,1426,514,Rajkot
Smartwatch,Central,2534,391,Mumbai
Desktop,West,4418,164,Kutch
Smartphone,Central,4944,239,Patan
Headphones,East,4920,960,Patan
Tablet,North,658,355,Patan
Headphones,South,2380,808,Patan
Smartwatch,South,2704,222,Ahemdabad
Smartwatch,Central,2620,458,Mumbai
Tablet,North,2132,787,Kutch
Tablet,East,2532,816,Bhopal
Tablet,East,2272,904,Pune
Smartphone,West,2479,261,Gandhinagar
Smartphone,Central,3491,530,Amreli
Smartwatch,West,984,122,Rajkot
Laptop,South,3927,602,Noida
Smartphone,West,1149,589,Gandhinagar
Headphones,West,1384,495,Rajkot
Laptop,East,966,916,Gandhinagar
Smartphone,West,1647,694,Rajkot
Laptop,North,2430,954,Pune
Tablet,South,2465,974,Amreli
Tablet,North,2951,96,Ahemdabad
Headphones,East,1100,780,Pune
Smartwatch,East,3682,722,Amreli
Smartwatch,East,662,580,Gandhinagar
Smartphone,North,2137,321,Noida
Laptop,East,1323,488,Pune
Laptop,East,2781,387,Patan
Laptop,East,2320,873,Ahemdabad
Tablet,South,4265,777,Amreli
Smartphone,Central,1942,144,Mumbai
Laptop,East,3172,884,Delhi
Tablet,South,2763,513,Bangalore
Headphones,West,1448,117,Hyderabad
Smartphone,East,742,996,Chennai
Smartphone,Central,3893,581,Pune
Headphones,East,1560,804,Amreli
Desktop,West,2446,282,Gandhinagar
Headphones,South,4480,159,Noida
Smartwatch,Central,2171,884,Pune
Desktop,North,1424,710,Patan
Laptop,South,2869,60,Ahemdabad
Smartwatch,Central,4354,262,Patan
Laptop,West,3339,147,Patan
Tablet,East,2530,498,Patan
Tablet,East,3651,859,Patan
Headphones,North,2127,627,Ahemdabad
Headphones,North,3407,797,Mumbai
Smartphone,South,1202,633,Kutch
Headphones,South,3477,768,Bhopal
Desktop,Central,2854,834,Pune
Desktop,West,2781,124,Gandhinagar
Tablet,South,2983,941,Mumbai
Desktop,North,2832,455,Delhi
Smartwatch,East,1393,505,Bangalore
Headphones,Central,1172,130,Hyderabad
Smartwatch,Central,1217,352,Chennai
Smartphone,Central,4656,885,Delhi
Smartwatch,East,4919,138,Bangalore
Tablet,East,1975,892,Hyderabad
Desktop,Central,905,937,Chennai
Laptop,West,2634,216,Pune
Laptop,South,4284,643,Amreli
Laptop,West,4937,454,Gandhinagar
Smartwatch,West,3167,406,Noida
Smartphone,South,4482,279,Pune
Headphones,West,4877,207,Patan
Smartphone,Central,2717,912,Ahemdabad
Tablet,Central,3831,997,Mumbai
Smartphone,South,4713,946,Delhi
Smartphone,Central,1559,330,Bangalore
Desktop,East,1718,520,Hyderabad
Smartphone,Central,3712,266,Chennai
Smartphone,West,2634,220,Pune
Smartwatch,East,2948,702,Amreli
Smartphone,North,1683,269,Gandhinagar
Smartphone,Central,4331,310,Noida
Laptop,East,4944,913,Pune
Headphones,South,3073,987,Patan
Desktop,North,866,764,Ahemdabad
Smartwatch,East,4336,647,Pune
Laptop,West,2341,756,Amreli
Smartphone,Central,761,101,Gandhinagar
Desktop,East,2068,55,Noida
Headphones,North,4841,789,Pune
Laptop,North,2645,436,Patan
Desktop,North,4329,128,Ahemdabad
Laptop,South,1387,430,Pune
Headphones,South,3358,119,Amreli
Headphones,North,1963,792,Gandhinagar
Smartwatch,Central,2615,540,Noida
Headphones,West,2571,604,Pune
Desktop,West,4880,341,Patan
Smartphone,South,3719,78,Ahemdabad
Smartwatch,West,1859,660,Chennai
Tablet,Central,3648,843,Pune
Headphones,East,1036,850,Amreli
Smartphone,East,2615,501,Gandhinagar
Smartwatch,West,1915,902,Noida
Smartwatch,South,2758,57,Pune
Tablet,South,889,144,Patan
Desktop,Central,3711,528,Ahemdabad
Desktop,East,1756,888,Patan
Smartwatch,South,584,601,Patan
Laptop,East,4647,575,Patan
Smartphone,Central,1575,592,Patan
Smartwatch,North,905,76,Ahemdabad
Smartwatch,West,3520,520,Mumbai
Laptop,North,1498,188,Kutch
Smartphone,North,1423,704,Bhopal
Headphones,East,1905,280,Pune
Tablet,East,3644,185,Gandhinagar
Laptop,North,2804,484,Mumbai
Laptop,Central,992,547,Delhi
Smartphone,Central,1367,500,Bangalore
Tablet,North,3295,141,Hyderabad
Smartphone,South,3504,930,Chennai
Tablet,West,1243,487,Delhi
Smartwatch,Central,3595,477,Bangalore
Desktop,South,725,654,Hyderabad
Desktop,South,2784,889,Chennai
Headphones,North,1885,483,Pune
Laptop,North,2662,325,Amreli
Smartwatch,Central,1563,851,Gandhinagar
Tablet,South,1864,866,Noida
Desktop,East,2331,281,Pune
Headphones,North,3974,953,Patan
Headphones,North,1402,613,Ahemdabad
Tablet,South,4814,404,Mumbai
Smartphone,South,4237,390,Delhi
Headphones,North,1716,837,Bangalore
Smartwatch,West,517,565,Hyderabad
Headphones,Central,1647,974,Chennai
Tablet,South,1654,261,Pune
Tablet,West,3342,695,Amreli
Tablet,North,897,558,Gandhinagar
Laptop,East,3927,952,Noida
Smartphone,North,4139,709,Pune
Desktop,East,2782,638,Patan
Headphones,East,2638,467,Ahemdabad
Desktop,South,1086,455,Pune
Smartwatch,North,3949,661,Amreli
Smartphone,West,2956,604,Gandhinagar
Tablet,Central,4774,293,Noida
Headphones,East,4779,711,Pune
Tablet,West,790,497,Patan
Smartphone,West,1416,765,Ahemdabad
Tablet,East,571,396,Pune
Headphones,North,3373,463,Amreli
Laptop,Central,3280,883,Gandhinagar
Headphones,South,3585,942,Noida
Headphones,South,3322,91,Pune
Tablet,Central,1234,422,Patan
Laptop,North,533,138,Ahemdabad
Desktop,South,1051,529,Delhi
Smartwatch,South,3913,986,Bangalore
Headphones,South,784,297,Hyderabad
Smartphone,Central,4623,74,Chennai
Headphones,South,3426,345,Pune
Tablet,South,1876,654,Amreli
Smartphone,South,4498,152,Gandhinagar
Smartwatch,South,4356,867,Noida
Smartphone,North,4086,757,Pune
Smartwatch,North,4724,176,Patan
Smartwatch,North,1367,853,Ahemdabad
Headphones,East,3683,479,Amreli
Smartwatch,North,2169,105,Gandhinagar
Smartphone,South,1032,143,Noida
Tablet,Central,3770,117,Pune
Smartwatch,East,1197,391,Patan
Smartphone,South,1522,412,Ahemdabad
