Order_ID,Customer_ID,Product_Category,Product_Name,Quantity,Price_per_Unit,Total_Amount,Order_Date,Payment_Method,Delivery_Status
1048,C0221,Home,Vacuum Cleaner,4,1243,4972,2023-06-28,Credit Card,Canceled
1049,C0981,Home,Coffee Maker,3,1296,3888,2023-02-17,PayPal,Pending
1050,C0782,Toys,Lego Set,4,1574,6296,2023-04-15,COD,Canceled
1051,C0345,Beauty,Moisturizer,3,1825,5475,2023-05-26,COD,Pending
1052,C0105,Clothing,Sweater,2,1774,3548,2023-04-03,Credit Card,Pending
1053,C0095,Sports,Dumbbells,2,921,1842,2023-03-28,Credit Card,Delivered
1054,C0390,Home,Coffee Maker,3,302,906,2023-09-18,COD,Delivered
1055,C0100,Sports,Cycling Helmet,1,876,876,2023-05-20,Credit Card,Delivered
1056,C0368,Sports,Treadmill,2,138,276,2023-10-16,Debit Card,Pending
1057,C0868,Beauty,Conditioner,5,1277,6385,2023-12-06,Debit Card,Canceled
1058,C0353,Beauty,Shampoo,5,54,270,2023-10-27,COD,Delivered
1059,C0619,Sports,Dumbbells,5,1143,5715,2023-04-19,Debit Card,Delivered
1060,C0271,Sports,Cycling Helmet,5,638,3190,2023-10-26,Credit Card,Delivered
1061,C0827,Toys,Dollhouse,3,532,1596,2023-01-03,Credit Card,Canceled
1062,C0045,Sports,Treadmill,1,1414,1414,2023-09-27,Debit Card,Delivered
1063,C0748,Sports,Running Shoes,3,592,1776,2023-10-20,COD,Canceled
1064,C0471,Beauty,Moisturizer,2,164,328,2023-04-03,COD,Pending
1065,C0550,Sports,Yoga Mat,5,1653,8265,2023-08-02,Credit Card,Delivered
1066,C0128,Sports,Running Shoes,5,1744,8720,2023-02-09,COD,Delivered
1067,C0997,Home,Blender,5,851,4255,2023-05-07,COD,Delivered
1068,C0945,Beauty,Lipstick,2,601,1202,2023-09-13,COD,Pending
1069,C0388,Beauty,Conditioner,4,1942,7768,2023-12-13,Credit Card,Canceled
1070,C0081,Toys,Board Game,3,432,1296,2023-02-18,PayPal,Delivered
1071,C0566,Beauty,Conditioner,1,1108,1108,2023-06-18,PayPal,Canceled
1072,C0301,Sports,Dumbbells,2,789,1578,2023-01-14,COD,Canceled
1073,C0850,Home,Microwave,4,1103,4412,2023-05-26,PayPal,Pending
1074,C0644,Electronics,Tablet,4,603,2412,2023-12-15,COD,Delivered
1075,C0634,Home,Blender,1,1632,1632,2023-12-15,Credit Card,Pending
1076,C0907,Sports,Yoga Mat,2,1367,2734,2023-03-04,Debit Card,Canceled
1077,C0883,Toys,Puzzle,4,1661,6644,2023-07-21,Credit Card,Canceled
1078,C0371,Beauty,Perfume,5,679,3395,2023-07-11,Debit Card,Delivered
1079,C0592,Clothing,Jacket,1,1721,1721,2023-10-30,Credit Card,Canceled
1080,C0197,Electronics,Laptop,5,826,4130,2023-02-24,Debit Card,Pending
1081,C0722,Clothing,Jeans,1,90,90,2023-06-15,Debit Card,Delivered
1082,C0072,Beauty,Shampoo,3,603,1809,2023-03-20,PayPal,Pending
1083,C0047,Sports,Running Shoes,3,1856,5568,2023-01-15,Credit Card,Pending
1084,C0678,Electronics,Smartphone,2,1730,3460,2023-02-11,Debit Card,Delivered
1085,C0234,Sports,Yoga Mat,4,564,2256,2023-08-24,COD,Canceled
1086,C0792,Sports,Treadmill,5,744,3720,2023-12-29,COD,Canceled
1087,C0297,Sports,Dumbbells,4,1587,6348,2023-12-04,Credit Card,Delivered
1088,C0082,Clothing,Jacket,3,1149,3447,2023-09-03,Credit Card,Canceled
1089,C0876,Sports,Running Shoes,5,1147,5735,2023-08-21,COD,Pending
1090,C0239,Clothing,Jacket,2,685,1370,2023-11-18,Debit Card,Canceled
1091,C0888,Beauty,Moisturizer,4,1375,5500,2023-05-18,COD,Pending
1092,C0104,Sports,Running Shoes,1,495,495,2023-11-01,COD,Canceled
1093,C0390,Sports,Running Shoes,1,1519,1519,2023-12-03,Debit Card,Delivered
1094,C0285,Beauty,Moisturizer,5,1716,8580,2023-01-03,PayPal,Delivered
1095,C0465,Toys,Lego Set,1,1143,1143,2023-06-18,COD,Canceled
1096,C0651,Home,Coffee Maker,1,1782,1782,2023-01-23,COD,Pending
1097,C0855,Clothing,Jacket,3,315,945,2023-12-02,PayPal,Delivered
1098,C0374,Beauty,Moisturizer,2,1884,3768,2023-11-15,PayPal,Canceled
1099,C0167,Electronics,Smartphone,1,11,11,2023-08-20,Credit Card,Pending
1100,C0380,Clothing,Jacket,1,1401,1401,2023-06-16,Debit Card,Pending
1101,C0364,Home,Coffee Maker,4,1566,6264,2023-10-19,Debit Card,Delivered
1102,C0215,Toys,Dollhouse,5,218,1090,2023-03-08,Credit Card,Pending
1103,C0687,Sports,Running Shoes,3,738,2214,2023-04-19,PayPal,Pending
1104,C0274,Toys,Action Figure,5,45,225,2023-01-25,Debit Card,Pending
1105,C0719,Home,Coffee Maker,4,609,2436,2023-11-26,Debit Card,Canceled
1106,C0960,Electronics,Smartwatch,4,544,2176,2023-05-25,COD,Pending
1107,C0700,Sports,Yoga Mat,4,1700,6800,2023-06-15,Credit Card,Pending
1108,C0664,Beauty,Conditioner,1,1371,1371,2023-01-29,Debit Card,Delivered
1109,C0074,Home,Coffee Maker,5,929,4645,2023-02-06,Debit Card,Delivered
1110,C0624,Sports,Dumbbells,5,1039,5195,2023-10-08,Debit Card,Canceled
1111,C0651,Beauty,Perfume,5,1348,6740,2023-11-05,Debit Card,Pending
1112,C0176,Electronics,Smartwatch,2,976,1952,2023-07-15,Credit Card,Delivered
1113,C0547,Clothing,Jeans,3,1808,5424,2023-02-17,Credit Card,Canceled
1114,C0747,Toys,Lego Set,1,73,73,2023-07-24,Debit Card,Pending
1115,C0251,Electronics,Laptop,3,885,2655,2023-05-11,Debit Card,Pending
1116,C0168,Home,Blender,1,107,107,2023-04-02,Debit Card,Canceled
1117,C0474,Clothing,Sneakers,5,1891,9455,2023-05-03,PayPal,Delivered
1118,C0389,Home,Air Purifier,2,1954,3908,2023-07-24,COD,Canceled
1119,C0277,Home,Vacuum Cleaner,2,1241,2482,2023-02-15,COD,Delivered
1120,C0948,Sports,Dumbbells,5,815,4075,2023-01-11,Credit Card,Pending
1121,C0656,Beauty,Moisturizer,3,1372,4116,2023-04-17,COD,Delivered
1122,C0705,Home,Coffee Maker,4,1154,4616,2023-03-25,Credit Card,Canceled
1123,C0571,Beauty,Moisturizer,5,347,1735,2023-07-18,COD,Delivered
1124,C0225,Home,Blender,1,783,783,2023-07-26,Credit Card,Canceled
1125,C0702,Clothing,T-Shirt,3,249,747,2023-05-26,Debit Card,Pending
1126,C0333,Home,Air Purifier,4,1261,5044,2023-11-28,COD,Canceled
1127,C0864,Sports,Cycling Helmet,2,1796,3592,2023-12-01,PayPal,Canceled
1128,C0787,Beauty,Lipstick,1,655,655,2023-03-20,COD,Pending
1129,C0795,Beauty,Lipstick,2,387,774,2023-03-03,Credit Card,Pending
1130,C0058,Clothing,Jacket,1,1257,1257,2023-06-02,Credit Card,Delivered
1131,C0235,Electronics,Tablet,4,493,1972,2023-09-09,Debit Card,Delivered
1132,C0842,Clothing,Sneakers,1,910,910,2023-08-10,Debit Card,Canceled
1133,C0033,Electronics,Tablet,4,1031,4124,2023-06-08,Credit Card,Canceled
1134,C0825,Home,Coffee Maker,5,1854,9270,2023-12-17,COD,Canceled
1135,C0324,Beauty,Moisturizer,5,1118,5590,2023-11-05,PayPal,Delivered
1136,C0411,Home,Air Purifier,1,772,772,2023-03-09,Debit Card,Pending
1137,C0275,Sports,Yoga Mat,3,1240,3720,2023-07-03,Debit Card,Delivered
1138,C0068,Beauty,Moisturizer,2,359,718,2023-12-07,Debit Card,Pending
1139,C0217,Electronics,Laptop,1,1104,1104,2023-02-19,COD,Canceled
1140,C0936,Clothing,Sneakers,1,22,22,2023-07-08,PayPal,Canceled
1141,C0966,Beauty,Perfume,2,1995,3990,2023-09-20,PayPal,Canceled
1142,C0581,Clothing,Sneakers,1,692,692,2023-04-13,PayPal,Pending
1143,C0898,Toys,Board Game,2,456,912,2023-09-08,PayPal,Delivered
1144,C0736,Electronics,Laptop,4,1446,5784,2023-08-17,Credit Card,Delivered
1145,C0323,Sports,Dumbbells,3,16,48,2023-07-18,PayPal,Delivered
1146,C0218,Toys,Action Figure,5,817,4085,2023-09-01,Credit Card,Delivered
1147,C0672,Clothing,T-Shirt,5,1948,9740,2023-05-18,Credit Card,Pending
1148,C0512,Electronics,Smartphone,3,1913,5739,2023-10-16,PayPal,Delivered
1149,C0406,Toys,Dollhouse,2,495,990,2023-11-04,COD,Delivered
1150,C0906,Toys,Action Figure,3,1307,3921,2023-08-05,Debit Card,Delivered
1151,C0937,Beauty,Shampoo,2,331,662,2023-02-16,Credit Card,Pending
1152,C0659,Beauty,Moisturizer,3,1107,3321,2023-08-05,PayPal,Pending
1153,C0470,Toys,Puzzle,1,1508,1508,2023-07-08,Credit Card,Canceled
1154,C0147,Clothing,Sweater,1,719,719,2023-11-11,Debit Card,Delivered
1155,C0272,Sports,Treadmill,3,1468,4404,2023-04-06,Debit Card,Delivered
1156,C0143,Toys,Board Game,4,1144,4576,2023-08-11,Credit Card,Pending
1157,C0253,Home,Vacuum Cleaner,3,380,1140,2023-11-19,Debit Card,Pending
1158,C0763,Sports,Treadmill,5,358,1790,2023-08-07,Credit Card,Delivered
1159,C0575,Toys,Board Game,1,296,296,2023-02-17,PayPal,Pending
1160,C0552,Toys,Board Game,3,217,651,2023-01-21,Debit Card,Canceled
1161,C0270,Beauty,Perfume,5,1038,5190,2023-09-20,Credit Card,Delivered
1162,C0765,Home,Coffee Maker,1,764,764,2023-06-24,Credit Card,Pending
1163,C0599,Sports,Dumbbells,4,928,3712,2023-08-26,COD,Delivered
1164,C0439,Electronics,Smartphone,4,698,2792,2023-12-13,Credit Card,Delivered
1165,C0920,Electronics,Smartwatch,5,1754,8770,2023-04-25,Credit Card,Delivered
1166,C0598,Toys,Lego Set,3,753,2259,2023-11-28,PayPal,Canceled
1167,C0409,Home,Microwave,1,199,199,2023-12-18,PayPal,Delivered
1168,C0371,Home,Coffee Maker,4,940,3760,2024-01-01,Debit Card,Delivered
1169,C0225,Home,Air Purifier,5,975,4875,2023-03-21,Debit Card,Canceled
1170,C0142,Clothing,Sneakers,2,1317,2634,2023-09-11,COD,Delivered
1171,C0522,Clothing,Sneakers,3,1591,4773,2023-09-27,Credit Card,Delivered
1172,C0506,Clothing,Sneakers,2,907,1814,2023-11-19,COD,Pending
1173,C0094,Sports,Treadmill,3,239,717,2023-11-28,Debit Card,Delivered
1174,C0774,Beauty,Perfume,1,739,739,2023-09-26,PayPal,Delivered
1175,C0049,Sports,Treadmill,5,1448,7240,2023-02-12,Credit Card,Pending
1176,C0882,Sports,Cycling Helmet,1,418,418,2023-05-29,Debit Card,Delivered
1177,C0113,Home,Air Purifier,2,1745,3490,2023-08-28,Debit Card,Canceled
1178,C0157,Sports,Yoga Mat,5,85,425,2023-08-12,Debit Card,Canceled
1179,C0643,Home,Vacuum Cleaner,1,1010,1010,2023-02-10,COD,Pending
1180,C0164,Sports,Running Shoes,1,72,72,2023-09-02,Debit Card,Delivered
1181,C0812,Clothing,T-Shirt,1,265,265,2023-06-03,COD,Pending
1182,C0697,Sports,Yoga Mat,2,872,1744,2023-03-18,Debit Card,Pending
1183,C0433,Electronics,Smartphone,1,1419,1419,2023-03-07,Credit Card,Canceled
1184,C0611,Clothing,T-Shirt,4,1700,6800,2023-12-17,PayPal,Canceled
1185,C0066,Toys,Puzzle,3,1890,5670,2023-06-03,Debit Card,Pending
1186,C0395,Sports,Yoga Mat,4,884,3536,2023-05-08,Credit Card,Pending
1187,C0391,Electronics,Smartwatch,2,981,1962,2023-09-25,Debit Card,Delivered
1188,C0611,Sports,Running Shoes,2,1831,3662,2023-08-07,PayPal,Delivered
1189,C0480,Clothing,Sweater,1,149,149,2023-06-01,Credit Card,Delivered
1190,C0542,Home,Vacuum Cleaner,5,992,4960,2023-10-19,Credit Card,Pending
1191,C0258,Sports,Cycling Helmet,4,412,1648,2023-01-25,PayPal,Delivered
1192,C0995,Electronics,Tablet,2,1704,3408,2023-10-10,Debit Card,Canceled
1193,C0567,Sports,Cycling Helmet,3,386,1158,2023-02-09,Debit Card,Canceled
1194,C0882,Home,Blender,2,651,1302,2023-01-24,PayPal,Pending
1195,C0966,Clothing,Jacket,4,921,3684,2023-09-20,COD,Pending
1196,C0012,Toys,Board Game,3,846,2538,2023-02-25,Credit Card,Pending
1197,C0697,Home,Vacuum Cleaner,3,1907,5721,2023-09-19,PayPal,Canceled
1198,C0739,Home,Vacuum Cleaner,1,998,998,2023-08-06,COD,Delivered
1199,C0118,Sports,Dumbbells,5,217,1085,2023-07-31,Credit Card,Canceled
1200,C0699,Sports,Running Shoes,3,1778,5334,2023-02-18,Credit Card,Delivered
1201,C0907,Electronics,Tablet,1,880,880,2023-08-26,PayPal,Canceled
1202,C0550,Toys,Dollhouse,5,395,1975,2023-12-05,COD,Pending
1203,C0769,Home,Air Purifier,1,1790,1790,2023-10-19,Credit Card,Delivered
1204,C0274,Beauty,Shampoo,2,189,378,2023-05-10,Credit Card,Delivered
1205,C0788,Toys,Dollhouse,2,916,1832,2023-07-01,COD,Pending
1206,C0657,Toys,Dollhouse,5,1921,9605,2023-05-11,COD,Pending
1207,C0349,Clothing,Sweater,1,1666,1666,2023-10-27,Debit Card,Canceled
1208,C0115,Beauty,Conditioner,4,1919,7676,2023-02-11,Debit Card,Delivered
1209,C0301,Electronics,Tablet,1,469,469,2023-09-15,PayPal,Delivered
1210,C0446,Clothing,Jeans,4,289,1156,2023-01-09,Debit Card,Pending
1211,C0162,Sports,Running Shoes,3,1188,3564,2023-02-28,PayPal,Pending
1212,C0465,Home,Coffee Maker,3,1298,3894,2023-12-05,Debit Card,Pending
1213,C0004,Beauty,Moisturizer,3,1999,5997,2023-08-25,PayPal,Delivered
1214,C0977,Home,Blender,1,1258,1258,2023-04-02,Debit Card,Delivered
1215,C0740,Sports,Running Shoes,5,1209,6045,2023-04-04,PayPal,Pending
1216,C0897,Electronics,Smartphone,4,239,956,2023-07-21,COD,Delivered
1217,C0737,Electronics,Smartwatch,1,1229,1229,2023-01-24,Debit Card,Canceled
1218,C0270,Sports,Treadmill,3,992,2976,2023-02-12,Credit Card,Pending
1219,C0996,Clothing,Sweater,2,44,88,2023-08-02,PayPal,Delivered
1220,C0513,Sports,Yoga Mat,3,1715,5145,2023-12-27,COD,Pending
1221,C0781,Toys,Board Game,5,345,1725,2023-06-02,COD,Pending
1222,C0183,Electronics,Smartphone,3,1116,3348,2023-06-10,Debit Card,Canceled
1223,C0520,Sports,Cycling Helmet,5,1368,6840,2023-10-28,Credit Card,Delivered
1224,C0935,Sports,Treadmill,2,1862,3724,2023-08-21,Debit Card,Delivered
1225,C0109,Home,Vacuum Cleaner,4,1342,5368,2023-12-10,Credit Card,Pending
1226,C0892,Home,Coffee Maker,3,577,1731,2023-08-19,Debit Card,Canceled
1227,C0641,Toys,Puzzle,5,1600,8000,2023-11-16,COD,Pending
1228,C0306,Sports,Treadmill,4,1278,5112,2023-05-16,PayPal,Canceled
1229,C0862,Toys,Puzzle,2,1493,2986,2023-06-24,COD,Canceled
1230,C0655,Beauty,Conditioner,5,769,3845,2023-04-06,COD,Delivered
1231,C0520,Beauty,Lipstick,2,1159,2318,2023-04-19,PayPal,Delivered
1232,C0624,Home,Coffee Maker,2,682,1364,2023-04-05,PayPal,Delivered
1233,C0204,Toys,Puzzle,1,723,723,2023-02-10,PayPal,Delivered
1234,C0157,Sports,Yoga Mat,4,1946,7784,2023-11-06,COD,Delivered
1235,C0383,Sports,Dumbbells,1,1735,1735,2023-05-13,PayPal,Canceled
1236,C0781,Sports,Dumbbells,2,376,752,2023-12-11,Debit Card,Delivered
1237,C0166,Clothing,Jacket,5,913,4565,2023-02-24,Debit Card,Pending
1238,C0553,Toys,Puzzle,3,957,2871,2023-08-11,Debit Card,Canceled
1239,C0977,Toys,Puzzle,1,1257,1257,2023-10-01,Debit Card,Canceled
1240,C0798,Toys,Lego Set,3,1689,5067,2023-01-10,Credit Card,Delivered
1241,C0945,Clothing,Sneakers,1,1093,1093,2023-01-03,Credit Card,Delivered
1242,C0544,Sports,Yoga Mat,4,1319,5276,2023-07-22,COD,Canceled
1243,C0941,Sports,Cycling Helmet,3,1850,5550,2023-03-01,COD,Delivered
1244,C0001,Electronics,Headphones,1,39,39,2023-01-07,PayPal,Pending
1245,C0614,Home,Microwave,2,1093,2186,2023-03-29,COD,Canceled
1246,C0332,Home,Air Purifier,5,1905,9525,2023-12-02,PayPal,Pending
1247,C0501,Home,Blender,2,1627,3254,2023-09-02,PayPal,Delivered
1248,C0020,Home,Vacuum Cleaner,4,881,3524,2023-08-24,COD,Canceled
1249,C0115,Beauty,Lipstick,4,1081,4324,2023-12-21,Credit Card,Canceled
1250,C0952,Beauty,Conditioner,1,224,224,2023-07-27,PayPal,Pending
1251,C0372,Electronics,Laptop,2,1497,2994,2023-12-03,Credit Card,Canceled
1252,C0900,Clothing,Jacket,3,439,1317,2023-11-05,COD,Pending
1253,C0852,Sports,Running Shoes,1,709,709,2023-09-07,Debit Card,Canceled
1254,C0827,Beauty,Conditioner,1,243,243,2023-06-05,COD,Canceled
1255,C0315,Electronics,Smartwatch,2,513,1026,2023-11-13,Credit Card,Canceled
1256,C0246,Sports,Cycling Helmet,5,1718,8590,2023-11-12,PayPal,Pending
1257,C0060,Sports,Dumbbells,4,573,2292,2023-07-04,Credit Card,Delivered
1258,C0247,Home,Microwave,3,33,99,2023-12-20,COD,Pending
1259,C0900,Electronics,Smartwatch,4,1354,5416,2023-12-11,Credit Card,Delivered
1260,C0581,Toys,Puzzle,1,1300,1300,2023-12-20,PayPal,Canceled
1261,C0970,Clothing,Jacket,5,921,4605,2023-12-12,Credit Card,Delivered
1262,C0081,Beauty,Conditioner,1,106,106,2023-07-22,PayPal,Delivered
1263,C0088,Home,Air Purifier,5,312,1560,2023-06-04,COD,Canceled
1264,C0750,Sports,Cycling Helmet,2,1903,3806,2023-02-14,COD,Delivered
1265,C0498,Beauty,Conditioner,4,435,1740,2023-03-06,Debit Card,Canceled
1266,C0836,Clothing,Sneakers,1,193,193,2023-03-11,PayPal,Canceled
1267,C0071,Toys,Board Game,5,1534,7670,2023-01-08,COD,Pending
1268,C0779,Sports,Running Shoes,5,1547,7735,2023-04-08,PayPal,Pending
1269,C0546,Electronics,Headphones,1,1978,1978,2023-02-27,Debit Card,Delivered
1270,C0785,Toys,Lego Set,4,1584,6336,2023-01-09,Credit Card,Pending
1271,C0129,Toys,Board Game,2,409,818,2023-12-23,Debit Card,Delivered
1272,C0132,Clothing,Jeans,2,50,100,2023-04-07,Debit Card,Canceled
1273,C0676,Toys,Lego Set,3,259,777,2023-01-14,Credit Card,Pending
1274,C0487,Sports,Yoga Mat,3,1622,4866,2023-04-18,Credit Card,Canceled
1275,C0970,Sports,Dumbbells,3,31,93,2023-09-04,Credit Card,Delivered
1276,C0563,Clothing,Sweater,4,267,1068,2023-11-29,Debit Card,Pending
1277,C0170,Sports,Cycling Helmet,3,639,1917,2023-03-16,COD,Canceled
1278,C0272,Clothing,Sneakers,3,725,2175,2023-11-29,COD,Canceled
1279,C0541,Electronics,Laptop,4,1491,5964,2023-05-04,COD,Canceled
1280,C0894,Beauty,Perfume,3,1185,3555,2023-08-12,COD,Canceled
1281,C0622,Electronics,Smartwatch,2,681,1362,2023-11-17,Debit Card,Canceled
1282,C0434,Sports,Dumbbells,1,1762,1762,2023-10-03,COD,Pending
1283,C0988,Sports,Dumbbells,2,97,194,2023-04-08,PayPal,Pending
1284,C0217,Home,Air Purifier,2,134,268,2023-02-14,PayPal,Canceled
1285,C0952,Clothing,Sneakers,5,444,2220,2023-06-04,Credit Card,Delivered
1286,C0553,Toys,Dollhouse,1,433,433,2023-08-26,PayPal,Pending
1287,C0774,Beauty,Perfume,2,1865,3730,2023-03-17,Credit Card,Pending
1288,C0748,Home,Microwave,1,1026,1026,2023-08-31,Debit Card,Canceled
1289,C0707,Clothing,Jeans,2,1561,3122,2023-08-05,COD,Delivered
1290,C0206,Beauty,Lipstick,4,1883,7532,2023-01-12,COD,Pending
1291,C0731,Beauty,Perfume,4,454,1816,2023-03-01,Debit Card,Pending
1292,C0320,Toys,Board Game,3,1053,3159,2023-03-27,COD,Delivered
1293,C0409,Toys,Puzzle,4,831,3324,2023-03-20,PayPal,Pending
1294,C0688,Sports,Yoga Mat,1,438,438,2023-12-26,Debit Card,Canceled
1295,C0666,Home,Vacuum Cleaner,5,1645,8225,2023-08-16,Credit Card,Delivered
1296,C0383,Sports,Dumbbells,3,1452,4356,2023-09-06,PayPal,Delivered
1297,C0449,Electronics,Tablet,2,1125,2250,2023-08-30,Debit Card,Pending
1298,C0922,Home,Coffee Maker,4,195,780,2023-01-11,COD,Delivered
1299,C0530,Home,Air Purifier,3,932,2796,2023-08-19,Debit Card,Pending
1300,C0463,Toys,Action Figure,4,186,744,2023-10-27,Credit Card,Canceled
1301,C0124,Toys,Board Game,3,1772,5316,2023-05-05,COD,Delivered
1302,C0254,Beauty,Shampoo,1,500,500,2023-04-14,Debit Card,Delivered
1303,C0231,Sports,Cycling Helmet,1,1173,1173,2023-05-31,Debit Card,Canceled
1304,C0066,Clothing,Sneakers,2,720,1440,2023-10-19,COD,Delivered
1305,C0347,Electronics,Smartphone,3,787,2361,2023-07-20,Debit Card,Delivered
1306,C0022,Home,Vacuum Cleaner,5,814,4070,2023-01-27,PayPal,Delivered
1307,C0603,Toys,Puzzle,1,97,97,2023-06-20,PayPal,Canceled
1308,C0568,Toys,Action Figure,2,1726,3452,2023-01-05,Credit Card,Pending
1309,C0236,Sports,Yoga Mat,3,975,2925,2023-02-22,PayPal,Pending
1310,C0603,Beauty,Lipstick,2,945,1890,2023-11-19,COD,Canceled
1311,C0226,Electronics,Laptop,1,1125,1125,2024-01-01,Debit Card,Delivered
1312,C0008,Sports,Cycling Helmet,2,1578,3156,2023-08-10,Debit Card,Delivered
1313,C0073,Toys,Dollhouse,3,849,2547,2023-08-01,Credit Card,Pending
1314,C0725,Electronics,Tablet,4,1882,7528,2023-09-11,Debit Card,Canceled
1315,C0647,Clothing,Sneakers,5,372,1860,2023-10-24,Debit Card,Canceled
1316,C0061,Sports,Dumbbells,1,783,783,2023-11-02,PayPal,Pending
1317,C0235,Home,Air Purifier,3,150,450,2023-10-11,Credit Card,Delivered
1318,C0070,Toys,Dollhouse,3,166,498,2023-05-29,Debit Card,Pending
1319,C0928,Electronics,Smartphone,2,1286,2572,2023-01-19,Debit Card,Canceled
1320,C0033,Toys,Dollhouse,1,1973,1973,2023-09-07,COD,Pending
1321,C0881,Home,Vacuum Cleaner,4,695,2780,2023-07-24,COD,Delivered
1322,C0339,Sports,Treadmill,4,848,3392,2023-09-06,PayPal,Canceled
1323,C0073,Home,Blender,5,774,3870,2023-09-20,PayPal,Pending
1324,C0527,Electronics,Smartphone,5,396,1980,2023-10-30,Debit Card,Pending
1325,C0244,Toys,Puzzle,2,1129,2258,2023-11-10,Debit Card,Canceled
1326,C0286,Electronics,Laptop,1,1014,1014,2023-12-14,Credit Card,Delivered
1327,C0686,Clothing,Jacket,4,550,2200,2023-09-07,PayPal,Canceled
1328,C0498,Clothing,Jeans,1,869,869,2023-04-29,Debit Card,Delivered
1329,C0220,Clothing,Jeans,2,285,570,2024-01-01,PayPal,Canceled
1330,C0553,Sports,Dumbbells,1,549,549,2023-02-01,Credit Card,Canceled
1331,C0136,Toys,Board Game,1,1395,1395,2023-09-28,PayPal,Delivered
1332,C0741,Home,Coffee Maker,1,247,247,2023-01-10,PayPal,Delivered
